pid,station_name,station_lat,station_lng,flows_in,flows_out,flows_all
93,Rhodes Ave & 32nd St,41.8367245,-87.61329067,649,611,1260
94,Indiana Ave & 40th St,41.82167267,-87.62141583,175,186,361
95,MLK Jr Dr & Pershing Rd,41.8246,-87.61678,364,329,693
96,Morgan St & Pershing Rd,41.823613,-87.650931,31,26,57
97,Cottage Grove Ave & Oakwood Blvd,41.82293083,-87.60715483,353,343,696
98,Union Ave & Root St,41.819102,-87.643278,163,125,288
99,Western Ave & Congress Pkwy,41.874749,-87.686445,667,711,1378
100,Western Ave & Monroe St,41.87976367,-87.6860585,395,339,734
101,Stony Island Ave & 82nd St,41.746559,-87.586005,19,23,42
102,Woodlawn Ave & Lake Park Ave,41.81408633,-87.59701383,321,341,662
103,Cottage Grove Ave & 43rd St,41.816499,-87.606582,203,183,386
104,Ashland Ave & McDowell Ave,41.80886717,-87.66449283,121,116,237
105,Hoyne Ave & 47th St,41.808227,-87.67718,130,106,236
106,Marshfield Ave & 44th St,41.813996,-87.666589,37,25,62
107,Elizabeth St & 47th St,41.80839,-87.656526,70,65,135
108,Halsted St & 47th Pl,41.80813391,-87.64561655,96,84,180
109,Laramie Ave & Madison St,41.880207,-87.755337,15,11,26
110,Cicero Ave & Lake St,41.886841,-87.745261,28,22,50
111,Cicero Ave & Quincy St,41.87762117,-87.74538767,3,3,6
112,Kenton Ave & Madison St,41.880708,-87.741018,3,5,8
113,Laramie Ave & Kinzie St,41.887832,-87.755527,28,28,56
114,Austin Blvd & Lake St,41.8878915,-87.774446,73,96,169
115,Central Ave & Lake St,41.887664,-87.765469,29,34,63
116,Central Ave & Madison St,41.880121,-87.763238,9,12,21
117,Austin Blvd & Madison St,41.88026767,-87.77443483,27,63,90
118,Broadway & Ridge Ave,41.98404461,-87.66027383,1682,1568,3250
119,Lakefront Trail & Bryn Mawr Ave,41.9840367,-87.65231047,3347,3129,6476
120,Clark St & Elm St,41.902973,-87.63128,9347,9055,18402
